ID Evento,Denominação do Evento,Data de Início,Data Final,Realização
ev_0935,01 Bienal de São Paulo,20 Outubro 1951,23 Dezembro 1951,Museu de Arte Moderna de São Paulo (MAM-SP)
ev_0954,02 Bienal de São Paulo,13 Dezembro 1953,26 Fevereiro 1954,Museu de Arte Moderna de São Paulo (MAM-SP)
ev_0983,03 Bienal de São Paulo,7 Fevereiro 1955,10 Dezembro 1955,Museu de Arte Moderna de São Paulo (MAM-SP)
ev_0997,04 Bienal de São Paulo,22 Setembro 1957,30 Dezembro 1957,Museu de Arte Moderna de São Paulo (MAM-SP)
ev_1022,05 Bienal de São Paulo,21 Setembro 1959,31 Dezembro 1959,Museu de Arte Moderna de São Paulo (MAM-SP)
ev_1052,06 Bienal de São Paulo,1 Outubro 1961,31 Dezembro 1961,Museu de Arte Moderna de São Paulo (MAM-SP)
ev_1127,07 Bienal de São Paulo,28 Setembro 1963,22 Dezembro 1963,Fundação Bienal de São Paulo
ev_1175,08 Bienal de São Paulo,4 Setembro 1965,28 Novembro 1965,Fundação Bienal de São Paulo
ev_1226,09 Bienal de São Paulo,22 Setembro 1967,8 Dezembro 1967,Fundação Bienal de São Paulo
ev_1259,10 Bienal de São Paulo,27 Setembro 1969,14 Dezembro 1969,Fundação Bienal de São Paulo
ev_1322,11 Bienal de São Paulo,4 Setembro 1971,15 Novembro 1971,Fundação Bienal de São Paulo
ev_1387,12 Bienal de São Paulo,5 Outubro 1973,2 Dezembro 1973,Fundação Bienal de São Paulo
ev_1438,13 Bienal de São Paulo,17 Outubro 1975,14 Dezembro 1975,Fundação Bienal de São Paulo
ev_1476,14 Bienal de São Paulo,1 Outubro 1977,30 Novembro 1977,Fundação Bienal de São Paulo
ev_1512,15 Bienal de São Paulo,3 Outubro 1979,16 Dezembro 1979,Fundação Bienal de São Paulo
ev_1522,16 Bienal de São Paulo,16 Outubro 1981,20 Dezembro 1981,Fundação Bienal de São Paulo
ev_1554,17 Bienal de São Paulo,14 Outubro 1983,18 Dezembro 1983,Fundação Bienal de São Paulo
ev_1578,18 Bienal de São Paulo,4 Outubro 1985,15 Dezembro 1985,Fundação Bienal de São Paulo
ev_1628,19 Bienal de São Paulo,2 Outubro 1987,13 Dezembro 1987,Fundação Bienal de São Paulo
ev_1649,20 Bienal de São Paulo,14 Outubro 1989,10 Dezembro 1989,Fundação Bienal de São Paulo
ev_1722,21 Bienal de São Paulo,21 Setembro 1991,10 Dezembro 1991,Fundação Bienal de São Paulo
ev_1749,22 Bienal de São Paulo,12 Outubro 1994,11 Dezembro 1994,Fundação Bienal de São Paulo
ev_1796,23 Bienal de São Paulo,5 Outubro 1996,8 Dezembro 1996,Fundação Bienal de São Paulo
ev_1877,24 Bienal de São Paulo,3 Outubro 1998,13 Dezembro 1998,Fundação Bienal de São Paulo
ev_2033,25 Bienal de São Paulo,23 Março 2002,2 Junho 2002,Fundação Bienal de São Paulo
ev_2130,26 Bienal de São Paulo,25 Setembro 2004,19 Dezembro 2004,Fundação Bienal de São Paulo
ev_2177,27 Bienal de São Paulo,7 Outubro 2006,17 Dezembro 2006,Fundação Bienal de São Paulo
ev_2218,28 Bienal de São Paulo,26 Outubro 2008,6 Dezembro 2008,Fundação Bienal de São Paulo
ev_2230,29 Bienal de São Paulo,25 Setembro 2010,12 Dezembro 2010,Fundação Bienal de São Paulo
ev_2241,30 Bienal de São Paulo,7 Setembro 2012,9 Dezembro 2012,Fundação Bienal de São Paulo
ev_2253,31 Bienal de São Paulo,6 Setembro 2014,7 Dezembro 2014,Fundação Bienal de São Paulo
ev_32biendes,32 Bienal de São Paulo,7 Setembro 2016,11 Dezembro 2016,Fundação Bienal de São Paulo
ev_10278,33 Bienal de São Paulo,7 Setembro 2018,9 Dezembro 2018,Fundação Bienal de São Paulo